"description","sequence","time"
"gets bulky object from the box","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets bulky object from pallet","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets bulky object from WIP","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets bulky object from near the nest","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets obstructed object from the box","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets obstructed object from pallet","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets obstructed object from WIP","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets obstructed object from near the nest","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets blind object from the box","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets blind object from pallet","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets blind object from WIP","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets blind object from near the nest","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets light components from the box 50% of the time","A1 B3 G1 A0 B0 P0 A0","1.7999999999999998"
"gets light components from palet 50% of the time","A1 B3 G1 A0 B0 P0 A0","1.7999999999999998"
"gets light components from WIP 50% of the time","A1 B3 G1 A0 B0 P0 A0","1.7999999999999998"
"gets light object from palet 50% of the time","A1 B3 G1 A0 B0 P0 A0","1.7999999999999998"
"gets light object from the box 50% of the time","A1 B3 G1 A0 B0 P0 A0","1.7999999999999998"
"gets light object from WIP 50% of the time","A1 B3 G1 A0 B0 P0 A0","1.7999999999999998"
"gets light component from near the nest 50% of the time","A1 B3 G1 A0 B0 P0 A0","1.7999999999999998"
"gets light object from near the nest 50% of the time","A1 B3 G1 A0 B0 P0 A0","1.7999999999999998"
"gets heavy components from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets heavy components from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets heavy components from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets heavy components from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets bulky components from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets bulky components from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets bulky components from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets bulky components from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets obstructed components from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets obstructed components from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets obstructed components from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets obstructed components from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets blind components from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets blind components from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets blind components from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets blind components from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets heavy object from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets heavy object from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets heavy object from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets heavy object from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets bulky object from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets bulky object from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets bulky object from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets bulky object from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets obstructed object from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets obstructed object from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets obstructed object from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets obstructed object from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets blind object from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets blind object from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets blind object from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets blind object from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0","2.52"
"gets light components from the box 100% of the times","A1 B6 G1 A0 B0 P0 A0","2.88"
"gets light components from palet 100% of the times","A1 B6 G1 A0 B0 P0 A0","2.88"
"gets light components from WIP 100% of the times","A1 B6 G1 A0 B0 P0 A0","2.88"
"gets light object from palet 100% of the times","A1 B6 G1 A0 B0 P0 A0","2.88"
"gets light object from the box 100% of the times","A1 B6 G1 A0 B0 P0 A0","2.88"
"gets light object from WIP 100% of the times","A1 B6 G1 A0 B0 P0 A0","2.88"
"gets light component from near the nest 100% of the times","A1 B6 G1 A0 B0 P0 A0","2.88"
"gets light object from near the nest 100% of the times","A1 B6 G1 A0 B0 P0 A0","2.88"
"gets heavy components from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets heavy components from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets heavy components from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets heavy components from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets bulky components from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets bulky components from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets bulky components from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets bulky components from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets obstructed components from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets obstructed components from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets obstructed components from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets obstructed components from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets blind components from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets blind components from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets blind components from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets blind components from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets heavy object from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets heavy object from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets heavy object from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets heavy object from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets bulky object from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets bulky object from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets bulky object from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets bulky object from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets obstructed object from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets obstructed object from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets obstructed object from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets obstructed object from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets blind object from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets blind object from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets blind object from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets blind object from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0","3.5999999999999996"
"gets light components from the box 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0","4.319999999999999"
"gets light components from palet 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0","4.319999999999999"
"gets light components from WIP 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0","4.319999999999999"
"gets light object from palet 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0","4.319999999999999"
"gets light object from the box 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0","4.319999999999999"
"gets light object from WIP 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0","4.319999999999999"
"gets light component from near the nest 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0","4.319999999999999"
"gets light object from near the nest 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0","4.319999999999999"
"gets heavy components from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets heavy components from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets heavy components from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets heavy components from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets bulky components from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets bulky components from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets bulky components from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets bulky components from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets obstructed components from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets obstructed components from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets obstructed components from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets obstructed components from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets blind components from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets blind components from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets blind components from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets blind components from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets heavy object from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets heavy object from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets heavy object from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets heavy object from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets bulky object from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets bulky object from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets bulky object from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets bulky object from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets obstructed object from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets obstructed object from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets obstructed object from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets obstructed object from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets blind object from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets blind object from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets blind object from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets blind object from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0","5.04"
"gets light components 1 or 2 steps from the box","A3 B0 G1 A0 B0 P0 A0","1.44"
"gets light components 1 or 2 steps from palet","A3 B0 G1 A0 B0 P0 A0","1.44"
"gets light components 1 or 2 steps from WIP","A3 B0 G1 A0 B0 P0 A0","1.44"
"gets light object 1 or 2 steps from palet","A3 B0 G1 A0 B0 P0 A0","1.44"
"gets light object 1 or 2 steps from the box","A3 B0 G1 A0 B0 P0 A0","1.44"
"gets light object 1 or 2 steps from WIP","A3 B0 G1 A0 B0 P0 A0","1.44"
"gets light component 1 or 2 steps from the nest","A3 B0 G1 A0 B0 P0 A0","1.44"
"gets light object 1 or 2 steps from the nest","A3 B0 G1 A0 B0 P0 A0","1.44"
"gets heavy components 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets heavy components 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets heavy components 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets heavy components 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets bulky components 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets bulky components 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets bulky components 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets bulky components 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets obstructed components 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets obstructed components 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets obstructed components 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets obstructed components 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets blind components 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets blind components 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets blind components 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets blind components 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets heavy object 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets heavy object 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets heavy object 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets heavy object 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets bulky object 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets bulky object 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets bulky object 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets bulky object 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets obstructed object 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets obstructed object 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets obstructed object 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets obstructed object 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets blind object 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets blind object 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets blind object 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets blind object 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0","2.1599999999999997"
"gets light components 1 or 2 steps from the box 50% of the time","A3 B3 G1 A0 B0 P0 A0","2.52"
"gets light components 1 or 2 steps from palet 50% of the time","A3 B3 G1 A0 B0 P0 A0","2.52"
"gets light components 1 or 2 steps from WIP 50% of the time","A3 B3 G1 A0 B0 P0 A0","2.52"
"gets light object 1 or 2 steps from palet 50% of the time","A3 B3 G1 A0 B0 P0 A0","2.52"
"gets light object 1 or 2 steps from the box 50% of the time","A3 B3 G1 A0 B0 P0 A0","2.52"
"gets light object 1 or 2 steps from WIP 50% of the time","A3 B3 G1 A0 B0 P0 A0","2.52"
"gets light component 1 or 2 steps from the nest 50% of the time","A3 B3 G1 A0 B0 P0 A0","2.52"
"gets light object 1 or 2 steps from the nest 50% of the time","A3 B3 G1 A0 B0 P0 A0","2.52"
"gets heavy components 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy components 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy components 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy components 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky components 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky components 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky components 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky components 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed components 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed components 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed components 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed components 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind components 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind components 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind components 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind components 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy object 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy object 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy object 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy object 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky object 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky object 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky object 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky object 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed object 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed object 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed object 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed object 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind object 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind object 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind object 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind object 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0","3.2399999999999998"
"gets light components 1 or 2 steps from the box 100% of the times","A3 B6 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light components 1 or 2 steps from palet 100% of the times","A3 B6 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light components 1 or 2 steps from WIP 100% of the times","A3 B6 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light object 1 or 2 steps from palet 100% of the times","A3 B6 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light object 1 or 2 steps from the box 100% of the times","A3 B6 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light object 1 or 2 steps from WIP 100% of the times","A3 B6 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light component 1 or 2 steps from the nest 100% of the times","A3 B6 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light object 1 or 2 steps from the nest 100% of the times","A3 B6 G1 A0 B0 P0 A0","3.5999999999999996"
"gets heavy components 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy components 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy components 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy components 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky components 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky components 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky components 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky components 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed components 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed components 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed components 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed components 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind components 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind components 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind components 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind components 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy object 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy object 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy object 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy object 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky object 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky object 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky object 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky object 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed object 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed object 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed object 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed object 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind object 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind object 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind object 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind object 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0","4.319999999999999"
"gets light components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0","5.04"
"gets light components 1 or 2 steps from palet 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0","5.04"
"gets light components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0","5.04"
"gets light object 1 or 2 steps from palet 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0","5.04"
"gets light object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0","5.04"
