"description","sequence"
"gets obstructed components from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets obstructed components from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets blind components from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets blind components from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets blind components from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets blind components from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets heavy object from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets heavy object from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets heavy object from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets heavy object from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets bulky object from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets bulky object from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets bulky object from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets bulky object from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets obstructed object from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets obstructed object from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets obstructed object from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets obstructed object from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets blind object from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets blind object from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets blind object from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets blind object from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets light components 1 or 2 steps from the box","A3 B0 G1 A0 B0 P0 A0"
"gets light components 1 or 2 steps from palet","A3 B0 G1 A0 B0 P0 A0"
"gets light components 1 or 2 steps from WIP","A3 B0 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from palet","A3 B0 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from the box","A3 B0 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from WIP","A3 B0 G1 A0 B0 P0 A0"
"gets light component 1 or 2 steps from the nest","A3 B0 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from the nest","A3 B0 G1 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from the box","A3 B0 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from pallet","A3 B0 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from WIP","A3 B0 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from the nest","A3 B0 G3 A0 B0 P0 A0"
"gets light components 1 or 2 steps from the box 50% of the time","A3 B3 G1 A0 B0 P0 A0"
"gets light components 1 or 2 steps from palet 50% of the time","A3 B3 G1 A0 B0 P0 A0"
"gets light components 1 or 2 steps from WIP 50% of the time","A3 B3 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from palet 50% of the time","A3 B3 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from the box 50% of the time","A3 B3 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from WIP 50% of the time","A3 B3 G1 A0 B0 P0 A0"
"gets light component 1 or 2 steps from the nest 50% of the time","A3 B3 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from the nest 50% of the time","A3 B3 G1 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from the box 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from pallet 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from WIP 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from the nest 50% of the time","A3 B3 G3 A0 B0 P0 A0"
"gets light components 1 or 2 steps from the box 100% of the times","A3 B6 G1 A0 B0 P0 A0"
"gets light components 1 or 2 steps from palet 100% of the times","A3 B6 G1 A0 B0 P0 A0"
"gets light components 1 or 2 steps from WIP 100% of the times","A3 B6 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from palet 100% of the times","A3 B6 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from the box 100% of the times","A3 B6 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from WIP 100% of the times","A3 B6 G1 A0 B0 P0 A0"
"gets light component 1 or 2 steps from the nest 100% of the times","A3 B6 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from the nest 100% of the times","A3 B6 G1 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from the box 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from pallet 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from WIP 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from the nest 100% of the times","A3 B6 G3 A0 B0 P0 A0"
"gets light components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0"
"gets light components 1 or 2 steps from palet 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0"
"gets light components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from palet 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0"
"gets light component 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0"
"gets light object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets heavy components 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets bulky components 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets obstructed components 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets blind components 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets heavy object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets bulky object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets obstructed object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets blind object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0"
"gets light components 3 or 4 steps from the box","A6 B0 G1 A0 B0 P0 A0"
"gets light components 3 or 4 steps from palet","A6 B0 G1 A0 B0 P0 A0"
"gets light components 3 or 4 steps from WIP","A6 B0 G1 A0 B0 P0 A0"
